全国地方公共団体コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,献立名５,献立名６,飲み物,カロリー（小学校）,カロリー（中学校）
232050,2020,6,1,,,,,,,,,,
232050,2020,6,2,ロールパン,★とんかつ,★蒲郡みかんプチゼリー,いちごジャム,,,,牛乳,665,812
232050,2020,6,3,ロールパン,★れんこんサンドフライ,ヨーグルト,りんごジャム,,,,牛乳,636,782
232050,2020,6,4,ロールパン,豆乳のクリームシチュー,★一口ピーチゼリー,,,,,牛乳,578,714
232050,2020,6,5,ロールパン,ビーンズスープ,キャンディチーズ,,,,,牛乳,580,736
232050,2020,6,6,,,,,,,,,,
232050,2020,6,7,,,,,,,,,,
232050,2020,6,8,ごはん,カレー,ハムステーキ,★いちごゼリー,,,,牛乳,674,830
232050,2020,6,9,ごはん,★かきあげ,けんちん汁,★ふりかけ,,,,牛乳,618,810
232050,2020,6,10,くろロールパン,★ポテトとチーズのホイル蒸し,豆乳のコーンスープ,★一口りんごゼリー,,,,牛乳,652,804
232050,2020,6,11,わかめごはん,★白身魚のフリッター,豚汁,,,,,牛乳,606,795
232050,2020,6,12,ごはん,★しょうろんぽう,生揚げの中華煮,,,,,牛乳,696,840
232050,2020,6,13,,,,,,,,,,
232050,2020,6,14,,,,,,,,,,
232050,2020,6,15,ごはん,★愛知のしそ入り鶏春巻き,かりもりとひじきの中華和え,マーボー豆腐,,,,牛乳,722,895
232050,2020,6,16,きしめん,わふう汁,★めひかりフライ,ミニトマト,★生せんべい,,,牛乳,741,874
232050,2020,6,17,愛知の米粉入りパン,★愛知のしらすいりオムレツ,トマトスパゲティ,★みかんゼリーポンチ,,,,牛乳,728,845
232050,2020,6,18,ごはん,★三河赤鶏のチキンカツ,だいコーンサラダ,知多半島産玉ねぎのみそ汁,,,,牛乳,641,795
232050,2020,6,19,ごはん,★キャベツ入りつくね,小松菜とツナの和え物,半田の卵の親子煮,,,,牛乳,626,781
232050,2020,6,20,,,,,,,,,,
232050,2020,6,21,,,,,,,,,,
232050,2020,6,22,ごはん,さばの塩焼き,きゅうりのごま和え,肉じゃが,,,,牛乳,710,881
232050,2020,6,23,きな粉揚げパン,ポークビーンズ,スパゲティサラダ,ヨーグルト,,,,牛乳,607,724
232050,2020,6,24,ごはん,さわらのゆずみそかけ,ブロッコリーサラダ,大根と豚肉の煮物,,,,牛乳,628,787
232050,2020,6,25,麦ごはん,ハヤシライス,★あじフライレモンソース,冷凍みかん,,,,牛乳,683,858
232050,2020,6,26,ごはん,ビビンバ（肉）,ビビンバ（ナムル）,ワンタンスープ,★レモンムース,,,牛乳,655,806
232050,2020,6,27,,,,,,,,,,
232050,2020,6,28,,,,,,,,,,
232050,2020,6,29,麦ごはん,鮭と青菜ごはんの具,★たことじゃがいもの唐揚げ,冬瓜汁,★アーモンド入り小魚,,,牛乳,637,799
232050,2020,6,30,ごはん,★肉団子の酢豚,バンバンジーサラダ,八宝湯,,,,牛乳,678,843
