全国地方公共団体コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,献立名５,献立名６,飲み物,カロリー（小学校）,カロリー（中学校）
232050,2020,11,1,,,,,,,,,,
232050,2020,11,2,麦ごはん,マーボー豆腐,バンバンジーサラダ,★大学芋,★乾燥小魚,,,牛乳,740,956
232050,2020,11,3,,,,,,,,,,
232050,2020,11,4,ごはん,さばの塩焼き,卯の花の炒り煮,みそ汁,,,,牛乳,675,836
232050,2020,11,5,クロスロールパン,焼きそば,ごぼうサラダ,みかん,,,,牛乳,656,821
232050,2020,11,6,ごはん,★いか入りはんぺんのお好みソースかけ,れんこんのきんぴら,沢煮椀,★蒲郡みかんプチゼリー,,,牛乳,557,717
232050,2020,11,7,,,,,,,,,,
232050,2020,11,8,,,,,,,,,,
232050,2020,11,9,わかめごはん,★コロッケ,キャベツのゆかり和え,根菜煮,,,,牛乳,670,828
232050,2020,11,10,ごはん,★ぎょうざ,中華風和え物,八宝菜,,,,牛乳,588,759
232050,2020,11,11,ごはん,★さけの和風マリネ,ひじきの炒め煮,凍り豆腐の卵とじ,,,,牛乳,699,865
232050,2020,11,12,スライスパン,★ハンバーグのケチャップソース,キャベツソテー,白菜とかぶの豆乳シチュー,スライスチーズ,,,牛乳,688,847
232050,2020,11,13,麦ごはん,★さんまの銀紙焼き,野菜のたくあん和え,肉じゃが,,,,牛乳,664,826
232050,2020,11,14,,,,,,,,,,
232050,2020,11,15,,,,,,,,,,
232050,2020,11,16,"愛知のさつま芋
ごはん",★かきあげ,大根サラダ,けんちん汁,ヨーグルト,,,牛乳,765,935
232050,2020,11,17,きしめん,和風かけ汁,★煮豚,小松菜のごま和え,,,,牛乳,603,722
232050,2020,11,18,愛知の米粉入りパン,知多牛のシチュー,海藻サラダ,★フルーツポンチ,,,,牛乳,638,740
232050,2020,11,19,ごはん,さばの甘みそかけ,いかとわかめの酢の物,半田の卵のかきたま汁,,,,牛乳,699,867
232050,2020,11,20,ごはん,★れんこんサンドフライ,五目煮豆,きのこ汁,★ういろう,,,牛乳,644,816
232050,2020,11,21,,,,,,,,,,
232050,2020,11,22,,,,,,,,,,
232050,2020,11,23,,,,,,,,,,
232050,2020,11,24,麦ごはん,カレー,さけのトマトバジルソース,ブロッコリーサラダ,,,,牛乳,643,817
232050,2020,11,25,ごはん,★鶏肉とレバーの揚げ煮,白菜としめじのおかか煮,呉汁,,,,牛乳,688,853
232050,2020,11,26,ごはん,★さわらの西京焼き,関東煮,りんご,★アーモンド入り小魚,,,牛乳,647,809
232050,2020,11,27,きなこ揚げパン,★ミートボールとパスタのトマトソース煮,ツナサラダ,★いちごヨーグルト,,,,牛乳,646,761
232050,2020,11,28,,,,,,,,,,
232050,2020,11,29,,,,,,,,,,
232050,2020,11,30,ごはん,★豆腐ハンバーグの野菜あんかけ,里芋といかのうま煮,★つみれ汁,,,,牛乳,581,724
